"Id";"variable";"value"
"Dinn";"Programovaci jazyky I, Java (Bc)";1
"marcinko";"Programovaci jazyky I, Java (Bc)";1
"Tomio";"Programovaci jazyky I, Java (Bc)";1
"Lenochod";"Programovaci jazyky I, Java (Bc)";1
"kufrik";"Programovaci jazyky I, Java (Bc)";1
"random VSB student";"Programovaci jazyky I, Java (Bc)";1
"Pospa";"Programovaci jazyky II, C# (Bc)";1
"brajenisek";"Programovaci jazyky II, C# (Bc)";1
"JakubCH";"Programovaci jazyky II, C# (Bc)";1
"ebola";"Programovaci jazyky II, C# (Bc)";1
"Letajici spagetove monstrum";"Programovaci jazyky II, C# (Bc)";1
"El Daniel";"Programovaci jazyky II, C# (Bc)";1
"Rudolph";"Programovaci jazyky II, C# (Bc)";1
"Vojta K.";"Programovaci jazyky II, C# (Bc)";1
"Alex";"Programovaci jazyky II, C# (Bc)";1
"Tess";"Programovaci jazyky II, C# (Bc)";1
"leebro123";"Programovaci jazyky II, C# (Bc)";1
"keafe";"Programovaci jazyky II, C# (Bc)";1
"lf OSU";"Programovaci jazyky II, C# (Bc)";1
"JamesBond";"Programovaci jazyky II, C# (Bc)";1
"Mystik51";"Programovaci jazyky II, C# (Bc)";1
"Dinn";"Programovaci jazyky II, C# (Bc)";1
"marcinko";"Programovaci jazyky II, C# (Bc)";1
"omar";"Programovaci jazyky II, C# (Bc)";1
"Lenochod";"Programovaci jazyky II, C# (Bc)";1
"yoshi";"Programovaci jazyky II, C# (Bc)";1
"kufrik";"Programovaci jazyky II, C# (Bc)";1
"random VSB student";"Programovaci jazyky II, C# (Bc)";1
"Alex";"Programovaci jazyky a prekladace (Bc)";1
"brajenisek";"Skriptovaci jazyky (Bc)";1
"JakubCH";"Skriptovaci jazyky (Bc)";1
"Letajici spagetove monstrum";"Skriptovaci jazyky (Bc)";1
"El Daniel";"Skriptovaci jazyky (Bc)";1
"Vojta K.";"Skriptovaci jazyky (Bc)";1
"Alex";"Skriptovaci jazyky (Bc)";1
"Tess";"Skriptovaci jazyky (Bc)";1
"keafe";"Skriptovaci jazyky (Bc)";1
"lf OSU";"Skriptovaci jazyky (Bc)";1
"JamesBond";"Skriptovaci jazyky (Bc)";1
"Mystik51";"Skriptovaci jazyky (Bc)";1
"omar";"Skriptovaci jazyky (Bc)";1
"Tomio";"Skriptovaci jazyky (Bc)";1
"Lenochod";"Skriptovaci jazyky (Bc)";1
"yoshi";"Skriptovaci jazyky (Bc)";1
"Lachtan";"Skriptovaci jazyky (Bc)";1
"random VSB student";"Skriptovaci jazyky (Bc)";1
"JakubCH";"Technologie databazovych systemu I (Bc)";1
"Tess";"Technologie databazovych systemu I (Bc)";1
"keafe";"Technologie databazovych systemu I (Bc)";1
"Pospa";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"brajenisek";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"JakubCH";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"ebola";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Letajici spagetove monstrum";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Vojta K.";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Fox";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"Alex";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"leebro123";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
"keafe";"Tvorba aplikaci pro mobilni zarizeni I (Bc)";1
